Fly,Source,Morph,Ecl_date,SexWeightSize,Temp_start,Temp_end,Exp_start
0404mill1,L,S,329,fma,,,
0404mill2,L,S,329,fms,,,
0404mill4,L,S,329,fma,,,
0407mill1,L,S,329,fma,,,
0407mill2,L,S,329,fta,,,
0407mill4,L,S,329,fta,,,
0419mill2,L,S,329,fma,,,
0419mill4,L,S,329,fta,,,
0427mill2,L,S,424,fta,,,
0427mill3,L,S,424,fms,,,
0430mill1,L,S,424,ffa,,,
0430mill2,L,S,425,fma,,,
0430mill3,L,S,426,fms,,,
0430mill4,L,S,424,ffs,,,
0503mill1,L,A,427,fml,,,
0503mill2,L,A,501,fma,,,
0503mill4,L,S,501,fms,,,
0504mill1,L,A,427,fma,,,
0504mill2,L,S,425,fta,,,
0504mill3,L,A,428,ffa,,,
0504mill4,L,S,429,ffl,,,
0506mill1,L,A,501,fta,,,
0506mill2,L,S,429,fml,,,
0506mill4,L,S,427,ffa,,,
0508mill1,L,S,427,ffa,,,
0508mill2,L,S,427,ffa,,,
0508mill3,L,S,426,ffa,,,
0508mill4,L,S,427,fma,,,
0509mill1,L,A,429,fma,,,
0509mill2,L,A,428,ffa,,,
0509mill3,L,A,428,ffl,,,
0509mill4,L,A,429,ffa,,,
0510mill1,L,S,427,fma,,,
0510mill2,L,S,426,fta,,,
0510mill3,L,S,426,ffs,,,
0510mill4,L,S,427,fma,,,
0511mill1,L,A,428,fma,,,
0511mill2,L,A,428,fma,,,
0511mill3,L,A,429,fma,,,
0511mill4,L,A,429,fma,,,
0512mill1,L,A,504,fma,,,
0512mill2,L,A,505,fma,,,
0512mill3,L,S,426,fml,,,
0512mill4,L,S,426,ffa,,,
0518mill1,L,S,428,ffs,,,
0518mill2,L,S,428,fma,,,
0518mill3,L,S,429,ffa,,,
0518mill4,L,S,428,fma,,,
0519mill1,L,S,502,ffs,,,
0519mill4,L,A,429,fml,,,
0520mill1,L,S,429,ffa,,,
0520mill2,L,S,429,fma,,,
0520mill3,L,S,429,fma,,,
0520mill4,L,S,430,ffa,,,
0522mill1,L,A,506,fta,,,
0522mill2,L,A,506,ffs,,,
0522mill3,L,A,503,fts,,,
0522mill4,L,A,503,fma,,,
0523mill1,L,S,430,fma,,,
0523mill3,L,A,503,fts,,,
0612mill1,L,A,528,fma,,,
0612mill2,L,A,601,ffa,,,
0612mill3,L,A,604,fma,,,
0612mill4,L,A,606,fta,,,
0613mill1,L,S,528,fml,,,
0613mill2,L,A,610,fts,,,
0613mill3,L,S,612,fma,,,
0615mill1,L,A,528,fma,,,
0615mill2,L,A,601,fma,,,
0615mill3,L,A,604,ffa,,,
0615mill4,L,A,606,fta,,,
0617mill1,L,S,608,fms,,,
0617mill2,L,S,528,fml,,,
0618mill1,L,S,608,fms,,,
0618mill3,L,S,617,fma,,,
0619mill1,L,S,609,fma,,,
0619mill2,L,S,609,ffs,,,
0619mill3,L,S,609,fma,,,
0619mill4,L,S,609,ffa,,,
0620mill1,L,A,611,fma,,,
0620mill2,L,S,608,fta,,,
0620mill3,L,S,617,fml,,,
0621mill1,L,A,619,fta,,,
0621mill2,L,A,611,fma,,,
0621mill3,L,S,604,fms,,,
0622mill1,L,A,619,fma,,,
0622mill2,L,A,611,fma,,,
0622mill3,L,S,609,ffs,,,
0705mill1,W,S,705,fma,20.8,20.7,1238
0706mill1,W,S,705,fma,20.8,20.7,1229
0706mill2,W,S,705,fma,20.8,20.7,1232
0706mill3,W,S,705,ffa,20.8,20.7,1234
0708mill1,W,S,707,ffa,20.8,20.7,1206
0714mill1,W,S,714,fma,20.8,20.7,1225
0714mill3,W,S,714,fma,20.8,20.7,1230
0715mill1,W,S,715,fma,20.8,20.7,1251
0715mill3,W,S,715,ftl,20.8,20.7,1255
0726mill1,W,S,726,mma,20.8,20.7,1248
0726mill2,W,S,726,fma,20.8,20.7,1251
0726mill3,W,S,726,mma,20.8,20.7,1256
0726mill4,W,S,726,mfa,20.8,20.7,1302
0727mill1,W,S,727,fma,20.8,20.7,1229
0727mill2,W,S,727,fma,20.8,20.7,1234
0727mill3,W,S,727,fta,20.8,20.7,1239
0727mill4,W,S,727,ftl,20.8,20.7,1243
0728mill1,W,S,727,ffs,20.8,20.8,1224
0728mill2,W,S,727,ffa,20.8,20.8,1227
0728mill3,W,S,726,mml,20.8,20.8,1230
0728mill4,W,S,726,fta,20.8,20.8,1233
0729mill1,W,S,729,mma,20.8,20.7,1232
0729mill2,W,S,729,mma,20.8,20.7,1234
0729mill3,W,S,729,mma,20.8,20.7,1237
